Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Antara,2007,Visureigis / Krosoveris,3999,Dyzelinas,Mechaninė,333000,Vilnius,2000,110
Opel Insignia,2009,Universalas,4000,Dyzelinas,Automatinė,269177,Vilnius,2000,118
Opel Insignia,2010,Universalas,4000,Dyzelinas,Mechaninė,278578,Vilnius,2000,118
Opel Meriva,2013,Vienatūris,4150,Benzinas,Mechaninė,154600,Utena,1400,88
Opel Insignia,2012,Universalas,4200,Dyzelinas,Automatinė,243000,Marijampolė,2000,118
Opel Vivaro,2011,Vienatūris,4290,Dyzelinas,Mechaninė,201000,Klaipėda,2000,84
Opel Astra,2010,Hečbekas,4299,Dyzelinas,Mechaninė,181830,Kretinga,1700,92
Opel Combo,2017,Krovininis mikroautobusas,4300,Dyzelinas,Mechaninė,273000,Tauragė,1600,77
Opel Meriva,2011,Vienatūris,4300,Dyzelinas,Mechaninė,227521,Kretinga,1300,70
Opel Insignia,2011,Universalas,4300,Dyzelinas,Mechaninė,241300,Vilnius,2000,118
Opel Combo,2013,Vienatūris,4300,Dyzelinas,Mechaninė,414000,Tauragė,1600,77
Opel Zafira,2013,Vienatūris,4350,Dyzelinas,Mechaninė,260000,Šiauliai,1700,81
Opel Zafira,2013,Vienatūris,4350,Dyzelinas,Mechaninė,320069,Vilnius,2000,81
Opel Insignia,2010,Universalas,4350,Dyzelinas,Automatinė,257554,Marijampolė,2000,118
Opel Insignia,2011,Universalas,4350,Dyzelinas,Automatinė,229300,Kaunas,2000,96
Opel Astra,2012,Universalas,4400,Benzinas,Automatinė,201700,Vilnius,1400,103
Opel Insignia,2011,Sedanas,4450,Dyzelinas,Mechaninė,146250,Kaunas,2000,118
Opel Insignia,2012,Universalas,4600,Dyzelinas,Automatinė,295406,Vilnius,2000,118
Opel Insignia,2010,Sedanas,4650,Dyzelinas,Mechaninė,177000,Utena,2000,96
Opel Insignia,2014,Universalas,4650,Dyzelinas,Mechaninė,329687,Telšiai,2000,103
Opel Antara,2012,Visureigis / Krosoveris,4700,Dyzelinas,Mechaninė,277184,Panevėžys,2200,135
Opel Corsa,2013,Hečbekas,4700,Dyzelinas,Mechaninė,190608,Kaunas,1200,70
Opel Astra,2012,Kupė (Coupe),4750,Benzinas,Mechaninė,214000,Ukmergė,1400,103
Opel Astra,2010,Hečbekas,4750,Dyzelinas,Mechaninė,200000,Vilnius,2000,118
Opel Insignia,2013,Universalas,4800,Dyzelinas,Mechaninė,201000,Tauragė,2000,118
Opel Insignia,2013,Universalas,4800,Dyzelinas,Automatinė,282318,Vilnius,2000,120
Opel Astra,2015,Universalas,4850,Benzinas / dujos,Mechaninė,210000,Kaunas,1400,103
Opel Combo,2016,Vienatūris,4890,Dyzelinas,Mechaninė,269874,Vilnius,1600,77
Opel Antara,2011,Vienatūris,4900,Dyzelinas,Automatinė,225468,Telšiai,2200,135
Opel Combo,2016,Vienatūris,4900,Dyzelinas,Mechaninė,184000,Kaunas,1600,77
Opel Insignia,2012,Universalas,4900,Dyzelinas,Mechaninė,289000,Marijampolė,2000,143
Opel Insignia,2017,Hečbekas,4950,Dyzelinas,Automatinė,340000,Elektrėnai,1600,100
Opel Astra,2011,Hečbekas,4950,Benzinas,Mechaninė,182337,Kaunas,1600,85
Opel Corsa,2015,Hečbekas,4990,Dyzelinas,Mechaninė,186455,Vilnius,1300,70
Opel Insignia,2009,Universalas,4999,Dyzelinas,Automatinė,265181,Kretinga,2000,118
Opel Astra,2008,Hečbekas,4999,Dyzelinas,Automatinė,132000,Vilnius,1900,88
Opel Meriva,2011,Vienatūris,5199,Benzinas,Mechaninė,140640,Kretinga,1400,88
Opel Vivaro,2014,Krovininis mikroautobusas,5200,Dyzelinas,Mechaninė,212000,Šiauliai,2000,84
Opel Astra,2017,Universalas,5200,Dyzelinas,Mechaninė,260000,Tauragė,1600,81
Opel Astra,2015,Hečbekas,5250,Dyzelinas,Mechaninė,201000,Utena,1600,81
Opel Insignia,2010,Hečbekas,5299,Dyzelinas,Automatinė,293416,Kėdainiai,2000,96
Opel Astra,2011,Hečbekas,5300,Benzinas,Automatinė,207000,Utena,1600,85
Opel Insignia,2011,Universalas,5300,Dyzelinas,Mechaninė,287646,Klaipėda,2000,96
Opel Astra,2011,Universalas,5400,Benzinas,Automatinė,158537,Vilnius,1400,103
Opel Antara,2009,Visureigis / Krosoveris,5400,Dyzelinas,Mechaninė,238975,Mažeikiai,2000,110
Opel Zafira,2012,Vienatūris,5400,Dyzelinas,Mechaninė,304496,Kaunas,1700,81
Opel Insignia,2012,Universalas,5499,Dyzelinas,Automatinė,276230,Kretinga,2000,118
Opel Antara,2010,Visureigis / Krosoveris,5500,Dyzelinas,Automatinė,327980,Jonava,2000,110
Opel Insignia,2010,Universalas,5500,Dyzelinas,Automatinė,214000,Tauragė,2000,120
Opel Insignia,2012,Universalas,5600,Dyzelinas,Mechaninė,265609,Marijampolė,2000,118
Opel Zafira,2013,Vienatūris,5600,Dyzelinas,Mechaninė,217000,Tauragė,2000,81
Opel Combo,2014,Vienatūris,5650,Dyzelinas,Mechaninė,336200,Utena,1600,77
Opel Astra,2018,Hečbekas,5650,Dyzelinas,Mechaninė,250000,Šiauliai,1600,100
Opel Meriva,2013,Vienatūris,5650,Benzinas,Mechaninė,88000,Marijampolė,1400,88
Opel Astra,2014,Hečbekas,5699,Benzinas,Mechaninė,72000,Jurbarkas,1600,125
Opel Vivaro,2013,Komercinis,5700,Dyzelinas,Mechaninė,242390,Tauragė,2000,84
Opel Insignia,2014,Universalas,5700,Dyzelinas,Mechaninė,281000,Pakruojis,2000,120
Opel Insignia,2011,Universalas,5750,Dyzelinas,Automatinė,224887,Marijampolė,2000,118
Opel Insignia,2017,Universalas,5750,Dyzelinas,Automatinė,258000,Ukmergė,1600,100
Opel Mokka,2016,Visureigis / Krosoveris,5750,Dyzelinas,Mechaninė,198000,Kaunas,1600,100
Opel Mokka,2013,Visureigis / Krosoveris,5799,Dyzelinas,Mechaninė,193000,Klaipėda,1700,96
Opel Astra,2015,Universalas,5799,Dyzelinas,Mechaninė,191815,Kėdainiai,1600,81
Opel Insignia,2015,Universalas,5800,Dyzelinas,Mechaninė,287000,Marijampolė,2000,103
Opel Antara,2012,Visureigis / Krosoveris,5850,Dyzelinas,Automatinė,176000,Marijampolė,2200,135
Opel Astra,2012,Hečbekas,5899,Benzinas,Mechaninė,109534,Kretinga,1600,85
Opel Zafira Tourer,2011,Vienatūris,5900,Dyzelinas,Mechaninė,257612,Tauragė,2000,121
Opel Insignia,2014,Universalas,5900,Dyzelinas,Mechaninė,226100,Vilkaviškis,2000,103
Opel Insignia,2015,Hečbekas,5900,Dyzelinas,Mechaninė,195000,Kaunas,2000,103
Opel Antara,2011,Visureigis / Krosoveris,5900,Dyzelinas,Mechaninė,182000,Vilnius,2200,120
Opel Astra,2016,Universalas,5950,Dyzelinas,Mechaninė,181000,Kaunas,1600,81
Opel Zafira Tourer,2013,Vienatūris,5990,Dyzelinas,Mechaninė,206000,Utena,2000,121
Opel Insignia,2013,Universalas,5999,Dyzelinas,Mechaninė,280000,Vilnius,2000,120
Opel Insignia,2012,Universalas,5999,Dyzelinas,Automatinė,244254,Marijampolė,2000,143
Opel Insignia,2013,Universalas,5999,Dyzelinas,Mechaninė,270805,Marijampolė,2000,120
Opel Insignia,2011,Universalas,5999,Dyzelinas,Automatinė,227777,Marijampolė,2000,118
Opel Astra,2015,Universalas,5999,Dyzelinas,Mechaninė,268478,Kretinga,2000,121
Opel Insignia,2012,Universalas,5999,Dyzelinas,Mechaninė,250000,Vilnius,2000,118
Opel Zafira Tourer,2013,Vienatūris,6099,Dyzelinas,Mechaninė,217000,Marijampolė,2000,121
Opel Insignia,2011,Universalas,6100,Dyzelinas,Automatinė,201000,Vilnius,2000,96
Opel Adam,2016,Hečbekas,6150,Benzinas,Mechaninė,53008,Marijampolė,1400,74
Opel Cascada,2013,Kabrioletas,6250,Dyzelinas,Mechaninė,259100,Vilnius,2000,121
Opel Corsa,2018,Hečbekas,6292,Dyzelinas,Mechaninė,160000,Klaipėda,1300,55
Opel Meriva,2011,Vienatūris,6300,Dyzelinas,Mechaninė,203391,Kaunas,1700,81
Opel Zafira,2013,Vienatūris,6350,Dyzelinas,Automatinė,254552,Kaunas,2000,121
Opel Zafira Tourer,2014,Vienatūris,6390,Dyzelinas,Mechaninė,248000,Vilnius,1600,100
Opel Insignia,2014,Universalas,6400,Dyzelinas,Automatinė,287000,Vilkaviškis,2000,120
Opel Vivaro,2008,Keleivinis mikroautobusas,6400,Dyzelinas,Automatinė,285000,Klaipėda,2000,107
Opel Antara,2012,Visureigis / Krosoveris,6500,Dyzelinas,Automatinė,210000,Klaipėda,2200,120
Opel Antara,2012,Visureigis / Krosoveris,6500,Dyzelinas,Automatinė,194873,Klaipėda,2200,120
Opel Astra,2016,Sedanas,6500,Benzinas,Mechaninė,100102,Plungė,1400,103
Opel Meriva,2014,Vienatūris,6500,Benzinas,Automatinė,167666,Telšiai,1400,88
Opel Insignia,2013,Hečbekas,6500,Dyzelinas,Mechaninė,256000,Klaipėda,2000,103
Opel Insignia,2013,Universalas,6500,Dyzelinas,Mechaninė,290991,Kaunas,2000,143
Opel Meriva,2015,Vienatūris,6500,Dyzelinas,Mechaninė,192000,Vilnius,1600,81
Opel Zafira Tourer,2013,Vienatūris,6500,Dyzelinas,Mechaninė,259000,Kaunas,1600,100
Opel Astra,2006,Hečbekas,6550,Benzinas,Mechaninė,170000,Kaunas,2000,180
Opel Antara,2011,Visureigis / Krosoveris,6600,Dyzelinas,Automatinė,118791,Telšiai,2200,135
Opel Antara,2014,Visureigis / Krosoveris,6650,Dyzelinas,Mechaninė,191000,Utena,2200,120
Opel Insignia,2014,Universalas,6650,Dyzelinas,Automatinė,237913,Kretinga,2000,120
Opel Zafira Tourer,2013,Vienatūris,6750,Dyzelinas,Mechaninė,270000,Šiauliai,2000,96
Opel Astra,2016,Universalas,6750,Dyzelinas,Mechaninė,246000,Kaunas,1600,81
Opel Vivaro,2017,Krovininis mikroautobusas,6750,Dyzelinas,Mechaninė,166335,Radviliškis,1600,92
Opel Insignia,2014,Universalas,6850,Dyzelinas,Mechaninė,246760,Kėdainiai,2000,103
Opel Antara,2012,Vienatūris,6850,Dyzelinas,Mechaninė,184000,Kretinga,2200,120
Opel Antara,2011,Visureigis / Krosoveris,6850,Dyzelinas,Automatinė,231500,Kretinga,2200,135
Opel Astra,2017,Universalas,6897,Dyzelinas,Mechaninė,188000,Kaunas,1600,81
Opel Mokka,2014,Visureigis / Krosoveris,6900,Dyzelinas,Automatinė,227300,Vilnius,1700,96
Opel Insignia,2014,Universalas,6900,Dyzelinas,Mechaninė,198000,Vilnius,2000,88
Opel Astra,2020,Hečbekas,6950,Dyzelinas,Mechaninė,189900,Vilnius,1500,77
Opel Zafira Tourer,2014,Vienatūris,6950,Dyzelinas,Mechaninė,212000,Marijampolė,1600,100
Opel Astra,2018,Universalas,6950,Dyzelinas,Mechaninė,232000,Kaunas,1600,81
Opel Insignia,2014,Hečbekas,6999,Dyzelinas,Automatinė,254168,Kretinga,2000,120
Opel Zafira Tourer,2013,Vienatūris,6999,Dyzelinas,Mechaninė,268000,Marijampolė,2000,143
Opel Mokka,2015,Visureigis / Krosoveris,7000,Dyzelinas,Mechaninė,244172,Kazlų Rūda,1600,100
Opel Meriva,2012,Vienatūris,7150,Benzinas,Automatinė,111626,Kaunas,1400,88
Opel Insignia,2014,Hečbekas,7200,Dyzelinas,Automatinė,253781,Tauragė,2000,143
Opel Insignia,2014,Universalas,7200,Dyzelinas,Automatinė,193883,Kaunas,2000,103
Opel Zafira,2013,Vienatūris,7200,Dyzelinas,Mechaninė,207831,Kaunas,1600,100
Opel Insignia,2014,Universalas,7350,Dyzelinas,Mechaninė,221000,Klaipėda,2000,120
Opel Insignia,2014,Universalas,7400,Dyzelinas,Mechaninė,339637,Kaunas,2000,103
Opel Insignia,2016,Universalas,7450,Dyzelinas,Automatinė,268800,Kėdainiai,1600,100
Opel Insignia,2016,Universalas,7450,Dyzelinas,Automatinė,236000,Marijampolė,2000,125
Opel Meriva,2016,Vienatūris,7500,Benzinas,Mechaninė,80000,Šiauliai,1400,88
Opel Combo,2022,Vienatūris,7500,Dyzelinas,Mechaninė,199000,Marijampolė,1500,75
Opel Ampera,2012,Hečbekas,7500,Benzinas / elektra,Automatinė,266700,Alytus,1400,111
Opel Mokka,2015,Visureigis / Krosoveris,7500,Dyzelinas,Mechaninė,200000,Tauragė,1700,96
Opel Combo,2019,Vienatūris,7550,Dyzelinas,Mechaninė,199249,Marijampolė,1500,56
Opel Zafira Tourer,2015,Vienatūris,7599,Dyzelinas,Mechaninė,198434,Kretinga,2000,125
Opel Zafira Tourer,2015,Vienatūris,7650,Dyzelinas,Automatinė,244000,Marijampolė,2000,96
Opel Astra,2019,Universalas,7750,Dyzelinas,Mechaninė,202000,Kretinga,1600,81
Opel Zafira,2013,Vienatūris,7800,Dyzelinas,Mechaninė,272809,Kaunas,2000,96
Opel Zafira Tourer,2016,Vienatūris,7850,Dyzelinas,Automatinė,232000,Marijampolė,2000,96
Opel Antara,2016,Visureigis / Krosoveris,7850,Dyzelinas,Automatinė,232000,Kaunas,2000,125
Opel Insignia,2015,Universalas,7900,Dyzelinas,Automatinė,286681,Vilnius,2000,96
